Month,Monthly milk production: pounds per cow. Jan 62 ? Dec 75
1962/1/1,589
1962/2/1,561
1962/3/1,640
1962/4/1,656
1962/5/1,727
1962/6/1,697
1962/7/1,640
1962/8/1,599
1962/9/1,568
1962/10/1,577
1962/11/1,553
1962/12/1,582
1963/1/1,600
1963/2/1,566
1963/3/1,653
1963/4/1,673
1963/5/1,742
1963/6/1,716
1963/7/1,660
1963/8/1,617
1963/9/1,583
1963/10/1,587
1963/11/1,565
1963/12/1,598
1964/1/1,628
1964/2/1,618
1964/3/1,688
1964/4/1,705
1964/5/1,770
1964/6/1,736
1964/7/1,678
1964/8/1,639
1964/9/1,604
1964/10/1,611
1964/11/1,594
1964/12/1,634
1965/1/1,658
1965/2/1,622
1965/3/1,709
1965/4/1,722
1965/5/1,782
1965/6/1,756
1965/7/1,702
1965/8/1,653
1965/9/1,615
1965/10/1,621
1965/11/1,602
1965/12/1,635
1966/1/1,677
1966/2/1,635
1966/3/1,736
1966/4/1,755
1966/5/1,811
1966/6/1,798
1966/7/1,735
1966/8/1,697
1966/9/1,661
1966/10/1,667
1966/11/1,645
1966/12/1,688
1967/1/1,713
1967/2/1,667
1967/3/1,762
1967/4/1,784
1967/5/1,837
1967/6/1,817
1967/7/1,767
1967/8/1,722
1967/9/1,681
1967/10/1,687
1967/11/1,660
1967/12/1,698
1968/1/1,717
1968/2/1,696
1968/3/1,775
1968/4/1,796
1968/5/1,858
1968/6/1,826
1968/7/1,783
1968/8/1,740
1968/9/1,701
1968/10/1,706
1968/11/1,677
1968/12/1,711
1969/1/1,734
1969/2/1,690
1969/3/1,785
1969/4/1,805
1969/5/1,871
1969/6/1,845
1969/7/1,801
1969/8/1,764
1969/9/1,725
1969/10/1,723
1969/11/1,690
1969/12/1,734
1970/1/1,750
1970/2/1,707
1970/3/1,807
1970/4/1,824
1970/5/1,886
1970/6/1,859
1970/7/1,819
1970/8/1,783
1970/9/1,740
1970/10/1,747
1970/11/1,711
1970/12/1,751
1971/1/1,804
1971/2/1,756
1971/3/1,860
1971/4/1,878
1971/5/1,942
1971/6/1,913
1971/7/1,869
1971/8/1,834
1971/9/1,790
1971/10/1,800
1971/11/1,763
1971/12/1,800
1972/1/1,826
1972/2/1,799
1972/3/1,890
1972/4/1,900
1972/5/1,961
1972/6/1,935
1972/7/1,894
1972/8/1,855
1972/9/1,809
1972/10/1,810
1972/11/1,766
1972/12/1,805
1973/1/1,821
1973/2/1,773
1973/3/1,883
1973/4/1,898
1973/5/1,957
1973/6/1,924
1973/7/1,881
1973/8/1,837
1973/9/1,784
1973/10/1,791
1973/11/1,760
1973/12/1,802
1974/1/1,828
1974/2/1,778
1974/3/1,889
1974/4/1,902
1974/5/1,969
1974/6/1,947
1974/7/1,908
1974/8/1,867
1974/9/1,815
1974/10/1,812
1974/11/1,773
1974/12/1,813
1975/1/1,834
1975/2/1,782
1975/3/1,892
1975/4/1,903
1975/5/1,966
1975/6/1,937
1975/7/1,896
1975/8/1,858
1975/9/1,817
1975/10/1,827
1975/11/1,797
1975/12/1,843
